"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Gomathi Kalyana Mantap","<","","3.9","256 Ratings","Channapatna Extension, Hassan","","8970568666,8970567666,9448427261","Convention Halls;Kalyana Mandapams",true,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.884Z"
"Hmt Kalyana Mantapa","<","","4.3","758 Ratings","Hn Pura Road Hosakoppalu, Hassan","","7975154366,9448061728","Convention Halls;Banquet Halls",true,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Chennambika Conventional Centre","<","","4.2","639 Ratings","Hassan Road Holenarsipur, Hassan","","","Convention Halls;Banquet Halls",false,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Sri Adichunchanagiri Community Centre","<","","4.3","555 Ratings","MG Road Hassan, Hassan","","9449852401","Banquet Halls;Auditoriums",true,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Savitha Shivananjegowda Convention Hall","<","","3.9","553 Ratings","Channarayapattana Byrapura, Hassan","","","Convention Halls;Banquet Halls",false,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Pavanaputra Convention Hall","<","","4.2","407 Ratings","Sankalapura Sankalapura, Hassan","","","Convention Halls;Banquet Halls",false,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"K P Kalyan Mantappa","<","","3.9","292 Ratings","Antharikshanagar, Hassan","","9844556306","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Sri Lalitha Devanatha Kalyana Mantapa","<","","3.8","248 Ratings","Shravanabelagola, Shravanabelagola","","9242924145,9480483421","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"DSM Hall","<","","3.8","239 Ratings","4th Cross Road Pension Mohalla, Hassan","","9448401067,7259349829","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Jalajakshi Shadakshari Kalyana Mantapa","<","","3.7","245 Ratings","Yadapur Road Arsikere, Hassan","","9448741392","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Umashankar Samudaya Bhavana","+","","3.9","227 Ratings","Kollahalli, Hassan","","9342205627","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"V J R Convention Hall","+","","3.9","209 Ratings","Near Kstrc Bus Depo Arsikere, Hassan","","9844925103","Convention Halls;Banquet Halls",true,false,false,false,false,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"B G S Samudaya Bhavana","","","4.2","183 Ratings","Channarayapatna, Hassan","","","Convention Halls;Banquet Halls",false,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
"Jnyanakshi Convention Hall","+","","4.4","163 Ratings","Krishnaraja Pura, Hassan","","","Convention Halls;Banquet Halls",false,false,false,false,true,"Government and Community","Hassan","Community Centers","573201","2025-06-27T08:11:05.885Z"
