name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Letspro Training Institute,L,4.7,250 Ratings,"Vijaynagar 2nd Stage, Mysore",,09054848120,Computer Training Institutes; Internship For CSE,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Cfss Educational Trust,+,4.6,602 Ratings,"Panchamantra Road Kuvempunagar, Mysore",,,2D Animation Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Cfss Educational Trust,+,4.5,238 Ratings,"Hunsur Main Road Hinkal, Mysore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Petaflake,P,5.0,5 Ratings,"Nagar Kamakshipalya, Bangalore",,09980788974,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Ravi Kiran V,+,4.1,7 Ratings,"Old BM Road Ramanagaram Ho, Ramanagara",,,Colleges; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Project Guru,P,3.5,3 Ratings,"Anugarha Layout Bannerghatta, Bangalore",,,Online Placement; Overseas Placement,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Amruthaa Jyothis Educational Institution Pvt Ltd,+,5.0,2 Ratings,"Weavers Colony Nelamangala, Bangalore",,,Computer Training Institutes; Tutorials,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Jambavan Learning,J,4.0,4 Ratings,"Rga Layout Jp Nagar 7th Phase, Bangalore",,,Advanced Java Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Blue Ocean Learning,+,3.4,64 Ratings,"Kothnur Jp Nagar 7th Phase, Bangalore",,,2D Animation Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Imax Infosoft,+,4.5,161 Ratings,"Maruthi Arcade Vijayanagar, Bangalore",,09980013976,SQL Training Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Ideal Data Infotech,I,4.6,5 Ratings,"Main Road Vijayanagar, Bangalore",,,Etl Testing Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Aevus Technologies,A,4.0,4 Ratings,"Indira Gandhi Circle Jp Nagar, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Sarlakg Technologies,+,4.7,36 Ratings,"Club Road Vijayanagar, Bangalore",,,Hadoop Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Parinama Group Of Institutions,+,3.7,8 Ratings,"Jp Nagar Jp Nagar 1st Phase, Bangalore",,,Computer Training Institutes; SAP Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Data Xpert,D,5.0,2 Ratings,"3/17 2nd cross BTM Layout, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Aroha Technologies,A,3.8,63 Ratings,"38th Cross Jayanagar 5th Block, Bangalore",,,Computer Training Institutes For SAS; Computer Training Institutes,true,true,false,true,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Quick Step Computer Centre,+,3.8,12 Ratings,"5th Block Jayanagar, Bangalore",,,Computer Training Institutes For C++ Programming; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Letspro Academy,L,3.9,33 Ratings,"Road 4th Banashankari 2nd Stage, Bangalore",,08460210139,Placement Services (For Employers); Computer Training Institutes,true,true,false,true,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Kalinga Infotech,+,4.0,206 Ratings,"Magadi Road, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Inventateq,+,4.5,148 Ratings,"33rd Cross Jayanagar 4th T Block, Bangalore",,,SAP Basis Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
