name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Jeeva Jyothi Hospital,<,3.8,96 Ratings,"Kalyana Mantapa Road Hassan City, Hassan",,09725392090,Pediatric Surgical Consultation,true,true,true,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.007Z
Janapriya Hospital,<,4.1,321 Ratings,"Math Road Kr Puram Hassan, Hassan",,07383059057,Hospitals,true,false,false,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.007Z
Homeocare International Pvt Ltd,<,4.6,194 Ratings,"Bm Road, Hassan",,09054579346,Common Cold; Homeopathic Geriatric Care,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.007Z
Mmm Hospital and Research Centre,<,4.5,69 Ratings,"Sampige Road Sampige Road Hassan, Hassan",,07383446317,24 Hours Centralised Oxygen; 24 Hours Dialysis; 24 Hours Emergency Service,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.008Z
Karna Multispeciality Hospital,<,4.5,243 Ratings,"Karna Hospital Shankar Mutt Road, Hassan",,07048877107,Practicing at 2 Locations; Gynaecological Cancer Treatment; Donor Insemination Surrogacy,true,false,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.008Z
Tanya Speciality Hospital,<,4.2,465 Ratings,"Sampige Road Kr Puram Hassan, Hassan",,,Nursing Care; Obstetrics Problems,true,true,false,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.008Z
Manjunatha Hospital,<,4.6,260 Ratings,"Sampoge Road Kr Puram Hassan, Hassan",,08904974596,Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.008Z
Sahyaadri Multispeciality Hospital,<,4.1,195 Ratings,"RC Road rangoli halla, Hassan",,07383181968,Obstetrics Problems; Vitiligo; Pediatric Surgical Consultation,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.009Z
Hasanaba Multispeciality Hospital and Gastroenterology,<,4.0,147 Ratings,"Hassan City, Hassan",,09972371879,Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.009Z
Mani Super Speciality Hospital and Research Institute,<,4.3,884 Ratings,"Samige Road Kr Puram Hassan, Hassan",,09972365493,Gynaecological Cancer Treatment,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.009Z
Janatha Hospital & Research Centre,+,4.0,112 Ratings,"Race Course Road Hassan, Hassan",,,Contact Lens Prescription; Animal Diseases; Ophthalmic Surgical Consultation,true,true,false,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.010Z
Bethel Medical Mission Hospital & Hosmat Hospital Education Group,+,4.1,158 Ratings,"Preety Nagar Laggere, Bangalore",,07048209067,Hospitals; Colleges,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.011Z
Shri Tulasigirish Diabetes Hospital & Diabetes Research Foundation,+,4.2,34 Ratings,"Mahaveer Road Bagalkot, Bagalkot",,,Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.011Z
Global Health Tourism,G,4.6,37 Ratings,"Lane No 5 Vishwakarma Nagar, Nagpur",,09980635869,Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.011Z
Pragati Medcity and Stem Cell Centre,+,4.8,30 Ratings,"Ajay Singh Marg Rohit Nagar, Bhopal",,09035344697,Hospitals,true,false,true,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.012Z
Nephron Kidney Kare Clinic,+,3.9,118 Ratings,"Bariatu Road Bariatu, Ranchi",,,Pediatric Consultation,true,false,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.012Z
Nangal Cancer Hospital & Research Institute,+,4.7,622 Ratings,"College Road Bikaner Agra Road, Bikaner",,,Hematolical Oncology Consultation,true,true,true,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.012Z
SSM Hospital,+,4.2,"2,024 Ratings","Mutt Road Kr Puram Hassan, Hassan",,,Diseases In Pregnancy; Infertility; Obstetrics Problems,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.012Z
JSS Hospital,J,4.7,3 Ratings,"Gandhi Road Mysore Hassan Ho, Hassan",,,Private Hospitals; Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.012Z
Swamy Car Decor And Sticker Cutting,+,4.8,4 Ratings,"B M Road Channarayapatna, Hassan",,,Company Authorised Dealer,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Sparsh Hospital,+,4.2,"1,565 Ratings","Sparsh Hospital Bm Road, Hassan",,,Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Mangala Hospital,+,3.9,753 Ratings,"K R Puram Sampige Road Hassan, Hassan",,,Obstetrics Problems,true,true,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Sri Dharamsthala Manjunatheswara College Of Ayurveda,+,4.4,654 Ratings,"Thanniruhalla Bm Road, Hassan",,,Hospitals; Colleges,true,true,true,true,true,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Janapriya Hospital,+,3.9,631 Ratings,"3rd Cross Road Shankaripuram, Hassan",,,Hospitals,true,false,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Keshava Nethralaya,+,4.4,355 Ratings,"Harshamahal Road, Hassan",,,Ophthalmic Surgical Consultation,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Manjunatha Hospital,M,4.6,286 Ratings,"1st Cross Shankar Mutt Road, Hassan",,,Hospitals; Private Hospitals,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.013Z
Dr. Chaitra Niranjan Tanya Speciality Hospital,+,4.5,252 Ratings,"3rd Cross Kr Puram Hassan, Hassan",,,Obstetrics Problems,true,false,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.014Z
Vijayalakshmi Electro World,+,4.0,269 Ratings,"Circle Park Road Salagame Road, Hassan",,,Same Day Delivery; In Store Collect; Shop In Store,true,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.014Z
Hemavathi Hospital,+,3.7,191 Ratings,"Northern Extension Aralepet, Hassan",,,Obstetrics Problems; Pediatric Consultation; Diseases In Pregnancy,true,true,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.014Z
Dange Hospital,+,3.7,146 Ratings,"Matta Road Mg Road Hassan, Hassan",,,Contact Lens Prescription; Ophthalmic Surgical Consultation; Pediatric ENT Consultation,true,true,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.015Z
Dange Hospital,+,3.7,146 Ratings,"Vidhya Nagar, Hassan",,,Hospitals,true,true,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.015Z
Rajeev Hospital,R,4.0,125 Ratings,"Hospital Road Kr Puram Hassan, Hassan",,,Hospitals,false,true,false,false,true,Best Hospitals,Hassan,2025-05-26T12:37:40.015Z
Hassanamba Gastroentarolagy Multi Speciality Hospital,H,3.8,117 Ratings,"Hospital Road Rangoli Halla, Hassan",,,Nursing Care,false,true,false,false,false,Best Hospitals,Hassan,2025-05-26T12:37:40.015Z
