name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Dakshyaini Dental and Cosmetic Clinic,<,4.6,14 Ratings,"Koppalu Main Vidya Nagar Hassan, Hassan",,08904894686,,true,true,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.861Z
Trupti Multispeciality Dental Clinic,<,5.0,8 Ratings,"Sampige Road Sampige Road Hassan, Hassan",,08460469375,,true,false,true,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Maruthi Dental Clinic,<,3.0,2 Ratings,"7th Cross Road Krishnaraja Pura, Hassan",,09725500390,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Janapriya Hospital,<,4.1,321 Ratings,"Math Road Kr Puram Hassan, Hassan",,07383059057,,true,false,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Sri Krishna Dental Clinic,<,4.4,4 Ratings,"Sakleshpura Road Hassan HO, Hassan",,08460412209,,true,true,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Vijaya Dental Care,<,4.2,29 Ratings,"Matta Road Shankar Mutt Road, Hassan",,,,true,false,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Aksha Dental Clinic,<,4.7,7 Ratings,"Salagame Road, Hassan",,07041623013,,true,true,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Bharathi Multispeciality Dental Clinic,<,3.4,7 Ratings,"Road Kasturba Road Hassan, Hassan",,08460296239,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Venu Dental Clinic,<,4.4,7 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,08488912807,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Janatha Hospital & Research Centre,<,4.0,112 Ratings,"Race Course Road Hassan, Hassan",,,,true,true,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
A1 Dental Care,+,4.9,6 Ratings,"BH Road Arsikere, Hassan",,09724282854,,true,true,false,true,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
SSM Hospital,+,4.2,"2,024 Ratings","Mutt Road Kr Puram Hassan, Hassan",,,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Yash Multi Speciality Dental Clinic,+,5.0,16 Ratings,"Sampige Road Kr Puram Hassan, Hassan",,,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Keerthi Dental Clinic,+,5.0,1 Rating,"Above Janatha Bazar Arsikere, Hassan",,,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Mathrushree Dental Clinic,M,5.0,6 Ratings,"Hassan City, Hassan",,,,true,true,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
Keethi Dental Clinic,K,4.8,209 Ratings,"Tippu Nagar Arsikere, Hassan",,,,false,false,false,false,true,Best Dentists,Hassan - Book Appointment Online,2025-05-26T12:30:58.862Z
