name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Reefa Sofa Works,<,4.4,7 Ratings,"Nagar Police Calony Hassan HO, Hassan",,09980233895,Sofa Set Repair & Services; Bed Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.224Z
City Furniture Hassan And Kings Furnishing,<,4.0,75 Ratings,"Bm Road, Hassan",,07383484375,Antique Furniture Dealers; Furniture Dealers,true,true,false,true,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.225Z
Indian Oak Furniture,<,4.9,56 Ratings,"B M Main Road Bm Road, Hassan",,,Furniture Dealers; Interior Designers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.226Z
National Enterprises,<,4.9,15 Ratings,"Police Station Pension Mohalla, Hassan",,,Sofa Set Repair & Services; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.227Z
Siddarth Enterprises,<,4.0,4 Ratings,"Main Road Hoysalanagar Main Road, Hassan",,,Sofa Set Repair & Services; Furniture Repair & Services,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
H K G N Furniture & Wood Works,<,3.3,3 Ratings,"Kuvempunagar Baragur, Hassan",,,Wooden Furniture Dealers; Furniture Dealers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Ravi Wood Works,<,4.0,2 Ratings,"Alur, Hassan",,,Carpenters; Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Pradeep Furniture,<,4.0,1 Rating,"Janwada Road Shah Gunj Bidar, Bidar",,,Carpenters; Office Chair Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Khandya Meubles,<,4.7,468 Ratings,"Mallandur Road, Chikmagalur",,,Bedroom Furniture Dealers; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Guruvayurappan Furniture Works,<,2.8,4 Ratings,"Benagal Benagal, Mysore",,,Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
New Modern Furniture Shops,N,4.8,27 Ratings,"Road Suntikoppa Madikeri, Coorg",,,Furniture Dealers; Wooden Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Badsha Bedding & Furniture Shop,+,4.5,2 Ratings,"College Road Madikeri, Coorg",,,Children Furniture Dealers; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
S R Furn,+,4.0,1 Rating,"Main Road Madikeri, Coorg",,,Furniture Dealers; Bed Dealers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.228Z
Hms Sawmill,+,4.3,3 Ratings,"Huliyar, Tumkur",,,Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Yashas Interiors and Wood Works,+,4.9,21 Ratings,"Housing Board Hootagalli, Mysore",,09035221723,Carpenters; Interior Designers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Mathrusri Wood Works and Interior,+,3.5,2 Ratings,"Koorgalli, Mysore",,08904397678,Wooden Door,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Irfan Bedding And Sofa Center,I,3.6,19 Ratings,"Baragenahalli, Chikmagalur",,,Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Samruddi Cane Works And Furnitures,+,4.8,101 Ratings,"Ring Road Hebbal, Mysore",,,Cane Furniture Dealers; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Nagendra Carpenter,+,4.3,31 Ratings,"Hebbal Main Road Hebbal, Mysore",,08511370032,2 Seater,true,true,false,true,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
Sri Shivaprasad Furnitures And Wood Works,+,3.7,3 Ratings,"Stage Hebbal Industrial Estate, Mysore",,,Carpenters; Furniture Manufacturers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
CARPENTER FOR INTERIOR,+,4.8,98 Ratings,"Surya Bakary Hebbal 1st Stage, Mysore",,08511461206,Wpc Door Dealers; PVC Door Dealers; Fireplace,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.229Z
VR Interior Designer,+,4.7,3 Ratings,"Lokanayakanagara, Mysore",,,Building,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.230Z
Flexi Furnitures & Wallpapers,+,4.5,8 Ratings,"Vijaya Nagara Main Road Hebbal, Mysore",,,PVC; Decorative; Delivery Available,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.230Z
FLEXI FURNITURES & INTERIOR,+,4.5,4 Ratings,"Main Road Hebbal 1st Stage, Mysore",,,Furniture Dealers; Sofa Dealers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.230Z
Indian Links Enterprises,+,4.5,24 Ratings,"M G Koppal Main Road Hebbal, Mysore",,,Cane Furniture Dealers; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.230Z
Elwin Sofas Factory Outlet,+,4.8,118 Ratings,"MG Koppal Main Road Hebbal, Mysore",,,Furniture Manufacturers; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.230Z
Basha Bedding Works & Sofa Works,B,4.0,1 Rating,"Bakery Circle Lokanayakanagara, Mysore",,,Sofa Repair & Services; Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Hindustan Bedding Works,+,4.3,4 Ratings,"Vinayaka Nagar Kumbara Koppal, Mysore",,,Bed Dealers; Mosquito Net Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Sri Nanjundeshwara Wood Works and Wood Furniture,+,4.4,6 Ratings,"Ramamandira Road Hinkal, Mysore",,,Wooden Door,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Visual Furnitures & Services,+,4.9,42 Ratings,"Hinkal, Mysore",,,Office Furniture Repair & Services; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Manjunatha Furniture And Cushion Works,+,4.2,22 Ratings,"Railway Layout Hebbal, Mysore",,,Delivery Available; Same Day Delivery,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Modern Furnitures,+,4.4,4 Ratings,"Main Road Gonikoppal Madikeri, Coorg",,,Furniture Dealers-Nilkamal; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
S J Furnishing,+,3.7,3 Ratings,"By Pass Road Gonikoppal Madikeri, Coorg",,,Interior Designers; Fabric Retailers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Cheluvaraju Handi Craft and Woodworks,+,3.9,7 Ratings,"Brundhavana Metagalli, Mysore",,,Carpenters; Furniture Manufacturers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Kastha Furniture Studio,+,5.0,5 Ratings,"Road Vijaynagar 1st Stage, Mysore",,,Furniture Dealers; Second Hand Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Ak Cushion Works,+,4.8,32 Ratings,"Main New Bannimantap Extension, Mysore",,,Sofa Set Repair & Services; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
New Classic Furniture,+,4.1,46 Ratings,"Industrial Area Santhepet, Mysore",,08511438987,Modular Furniture Dealers; Furniture Dealers,true,true,true,true,true,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
Woodsfreak Pvt Ltd,W,4.6,6 Ratings,"Ring Road Bank Employees Colony, Mysore",,,Furniture Repair & Services; Furniture Wholesalers,true,true,false,false,false,Furniture Repair & Services,Hassan,2025-05-26T12:36:30.231Z
