name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Wealth Fincorp,<,4.3,24 Ratings,"Old Bustand Road Hassan City, Hassan",,09054007051,Advisory; Investment Advisory; Portfolio Advisory,false,false,false,true,true,Registration Consultants,Hassan,2025-05-26T12:56:25.096Z
Hr Minds3,<,5.0,92 Ratings,"3rd Stage Rajarajeshwari Nagar, Bangalore",,07041827844,,true,false,true,true,true,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
Nithya Gokul Company Secretary,<,4.4,11 Ratings,"Poondurai Road Moolapalayam, Erode",,09724691632,Proprietory Firm Registration; ITR Filing,true,false,true,true,false,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
Varticles Labour Law Compliance and Management Consultancy,<,,,"St. Xavier Colony Old Goa, Goa",,08401186468,Licence,true,false,false,false,false,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
CBS STRACON PRIVATE LTD.,<,4.8,84 Ratings,"T B Junction Angamaly, Ernakulam",,,GST Return; TDS Return; Integrated Financial Accounting,true,false,false,false,true,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
M K Jain Consultant,<,,,"Vinayaga Maisty Street Sowcarpet, Chennai",,,Licence; Accounting; GST Return,true,false,false,false,false,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
Infinity Certification Services Bhopal,<,4.2,42 Ratings,"Shahpura Shahapura, Bhopal",,08401425740,GST Return; TDS Return; Income Tax Return,true,false,true,true,false,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
Estabizz Fintech Private Limited,<,,,"PDPU ROAD Gift City, Gandhinagar-Gujarat",,09035151499,Advisory; GST Return; TDS Return,true,false,false,false,false,Registration Consultants,Hassan,2025-05-26T12:56:25.097Z
Shree Balaji Associates,<,,,"Parivar Cross Road Waghodia Road, Vadodara",,07383804663,Licence; GST Return; TDS Return,true,false,false,false,false,Registration Consultants,Hassan,2025-05-26T12:56:25.098Z
Gk Consultancy,<,,,"Drive In Drive In Road, Ahmedabad",,09606404244,PAN Card; Accounting; GST Return,true,false,false,false,false,Registration Consultants,Hassan,2025-05-26T12:56:25.098Z
