name,initial,imageUrl,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Cooling Engineers,<,,4.4,491 Ratings,"Sri Nagar Peelamedu, Coimbatore",,07041428406,AC AMC|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
Sun Control Equipments,<,,4.3,23 Ratings,"Gounder Street Kannappa Nagar, Coimbatore",,09725290195,AC Dealers|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
Saran Home Appliance,<,,4.2,22 Ratings,"Road Gandhipuram Coimbatore, Coimbatore",,09054772530,AC Repair & Services|Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
R R Electronix,<,,4.2,87 Ratings,"Road Edayarpalayam, Coimbatore",,07411822422,Home Appliance Dealers|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
Abs Engineerings,<,,4.1,42 Ratings,"Vellalur Road Ukkadam, Coimbatore",,08734096430,AC Repair & Services|AC Installation Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
Kovai Home Appliances Repair & Service,<,,4.4,46 Ratings,"Sampath Street Rathinapuri, Coimbatore",,07411823186,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.455Z
AIR Tech Engineers,<,,4.5,74 Ratings,"AK Nagar Saibaba Colony, Coimbatore",,07383461867,Window AC Repair & Services|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.456Z
FKS Cool World,<,,3.9,114 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,09054755530,AC Repair & Services-Voltas|AC Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.456Z
Sri Aarna Service Point,<,,4.2,30 Ratings,"Main Road Avarampalayam, Coimbatore",,09054562556,AC Repair & Services-Voltas|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.456Z
Sri Selvalakshmi Home Care,<,,4.9,426 Ratings,"No B 2 Kavundampalayam, Coimbatore",,09725292435,Home Appliance Repair & Services|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Siva Engineering Refrigeration & Air Conditioners,+,,3.8,35 Ratings,"DB Road RS Puram Coimbatore, Coimbatore",,08490849756,AC Dealers|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Fix Speed,+,,4.0,29 Ratings,"Sanganoor Main Road Ganapathy, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Sun Control Equipments,+,,4.4,26 Ratings,"Colony Sriavanashilingam Hsc, Coimbatore",,,AC Dealers-Carrier|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
The Cool Zone Aircondiner Service,+,,4.2,39 Ratings,"Lokamanya Street East RS Puram, Coimbatore",,,24 Hours AC Repair & Services|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Power Tech Equipments,+,,4.2,35 Ratings,"Gandhinagar Kavundampalayam, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Mks Electronics,+,,4.3,51 Ratings,"C K Colony Sidhapudur, Coimbatore",,07411822718,AC Dealers-Carrier|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Megatech Engineers,,,4.6,18 Ratings,"Street 9th Street Saibaba Colony, Coimbatore",,,Vrf AC Dealers-Daikin|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Ab Service,,,4.2,72 Ratings,"PM Sami Colony Tatabad, Coimbatore",,,Mixer Grinder Repair & Services-Philips|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Orion Air Conditioners,,,4.0,22 Ratings,"Lakshmipuram Ganapathy, Coimbatore",,,AC Dealers-Carrier|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Sky Breeze AC Solutions,+,,2.9,11 Ratings,"Nagar Ramanathapuram Coimbatore, Coimbatore",,,AC Dealers|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
